dataset,mae_reduction_pct,metadata_only,metadata_plus_early_waveform,retained_fraction,scope,target,test_rows_full,test_rows_scope
instancegm,35.469688028101636,0.3919522925260567,0.25292803714807205,1.0,full_test,pga,1000,1000
instancegm,38.38987822614521,0.34308408774752036,0.21137452424796613,0.73,matched_train_support,pga,1000,730
instancegm,37.70231357603516,0.3842016715279325,0.2393487525641028,0.833,source_path_support,pga,1000,833
instancegm,52.6268837929389,0.37224216693629397,0.17634271431441295,1.0,full_test,pgv,1000,1000
instancegm,52.1421135085895,0.3303268671577943,0.15808745713500955,0.753,matched_train_support,pgv,1000,753
instancegm,54.49192506706034,0.3699429498264278,0.1683539148161381,0.833,source_path_support,pgv,1000,833
instancegm,26.039790798748815,0.32699993443884573,0.24184983559892453,1.0,full_test,sa03,992,992
instancegm,26.643480493383763,0.28339801431462364,0.20789091965206996,0.7721774193548387,matched_train_support,sa03,992,766
instancegm,27.150628383681696,0.3121743340601293,0.2274170407102305,0.8356854838709677,source_path_support,sa03,992,829
instancegm,20.887127030469408,0.33055168284334,0.26150893294649724,1.0,full_test,sa10,1000,1000
instancegm,17.1878253409088,0.29293626835038505,0.24258689418614496,0.778,matched_train_support,sa10,1000,778
instancegm,20.14833053265799,0.3239013761678646,0.2586406562977353,0.833,source_path_support,sa10,1000,833
instancegm,27.76989257971561,0.34320270029571875,0.24789567909291435,1.0,full_test,sa30,942,942
instancegm,24.94601609376747,0.2869348031806491,0.21535600100058438,0.7505307855626328,matched_train_support,sa30,942,707
instancegm,29.402473614325164,0.3467506458068701,0.244797378666003,0.8386411889596603,source_path_support,sa30,942,790
knet,49.9491861575663,0.22237101683289587,0.11129850367455961,1.0,full_test,pga,1000,1000
knet,50.39411087478942,0.20423124178075852,0.10131072335680381,0.767,matched_train_support,pga,1000,767
knet,51.21999278394094,0.21494097233932008,0.10484822181738786,0.824,source_path_support,pga,1000,824
